area_sqft,num_rooms,space_type,style,material,add_3d,add_turnkey,add_smart_home,final_cost
1068,8,hospitality,traditional,premium_tiles,0,1,0,2262700
907,6,commercial,modern,custom_wood,1,0,0,1646320
2465,4,commercial,scandinavian,standard,1,1,0,3403800
2340,2,hospitality,modern,premium_tiles,1,1,0,4186499
2282,10,commercial,japandi,standard,0,0,0,2738400
2313,7,commercial,modern,standard,0,0,1,3173160
2748,2,residential,royal,premium_tiles,1,1,1,5216400
1310,10,residential,contemporary,standard,0,1,1,1792000
3131,7,hospitality,japandi,custom_wood,1,1,0,5410080
2208,7,hospitality,royal,custom_wood,1,0,1,4939279
1787,5,hospitality,royal,custom_wood,0,1,0,3959919
3488,5,residential,modern,italian_marble,0,0,1,6398400
1984,8,residential,traditional,premium_tiles,1,1,0,3721200
1265,10,residential,modern,standard,1,1,1,1788000
1409,9,hospitality,contemporary,standard,1,1,0,2094419
1709,6,hospitality,contemporary,premium_tiles,1,1,0,3098025
2702,7,commercial,contemporary,standard,1,0,1,3736640
2316,7,residential,contemporary,italian_marble,1,0,1,4338800
2511,6,hospitality,traditional,premium_tiles,0,1,1,5304774
1262,3,hospitality,scandinavian,premium_tiles,0,0,0,2176950
3313,5,residential,royal,custom_wood,1,1,0,6510960
3490,4,residential,modern,premium_tiles,1,1,1,5505000
3364,5,commercial,contemporary,standard,0,0,0,4440480
2891,2,residential,traditional,premium_tiles,0,1,1,5423800
1463,6,residential,royal,standard,0,1,1,2326720
2561,10,hospitality,traditional,premium_tiles,1,1,0,5336024
1161,7,residential,scandinavian,custom_wood,1,0,0,1907600
2080,6,hospitality,scandinavian,premium_tiles,0,1,1,3807999
2810,7,residential,traditional,italian_marble,0,0,1,6189600
2025,5,residential,contemporary,custom_wood,0,1,1,3460000
2050,6,hospitality,scandinavian,italian_marble,1,1,0,4393500
954,3,commercial,contemporary,premium_tiles,1,1,0,1724100
3316,6,commercial,modern,premium_tiles,0,0,1,5591400
1327,9,hospitality,modern,standard,1,1,0,1981259
1713,3,hospitality,traditional,standard,0,0,0,2775059
2943,10,residential,modern,premium_tiles,0,1,1,4634500
1176,5,hospitality,modern,custom_wood,0,1,0,2263840
2557,4,hospitality,traditional,custom_wood,0,1,1,5743119
789,8,commercial,japandi,italian_marble,0,0,0,1420200
2435,7,hospitality,royal,italian_marble,0,1,0,6017049
1875,8,residential,japandi,premium_tiles,1,1,1,2801250
2537,8,commercial,royal,premium_tiles,1,0,0,4997150
2900,8,hospitality,minimalist,premium_tiles,0,0,1,4687500
2596,10,commercial,modern,custom_wood,0,0,1,4688960
2117,4,commercial,minimalist,italian_marble,0,1,0,3910600
1685,5,residential,royal,italian_marble,1,0,0,3689600
881,8,commercial,minimalist,premium_tiles,0,0,1,1441500
1659,7,hospitality,modern,standard,0,1,0,2389420
3404,10,residential,traditional,standard,1,0,0,4951760
3264,8,hospitality,traditional,italian_marble,1,1,1,8201519
2405,8,residential,contemporary,custom_wood,0,1,0,3948000
1623,6,hospitality,minimalist,custom_wood,0,1,1,2946640
2982,10,residential,traditional,premium_tiles,1,0,1,5537600
3348,3,commercial,japandi,standard,0,0,0,4017600
1799,8,hospitality,modern,italian_marble,0,0,0,3723929
2663,5,commercial,contemporary,italian_marble,0,0,0,5272740
2661,5,hospitality,modern,premium_tiles,1,0,1,4760225
1859,8,commercial,modern,standard,1,1,1,2723880
2800,9,commercial,royal,custom_wood,1,0,1,5994000
1981,8,residential,modern,premium_tiles,0,0,1,3091500
2966,8,commercial,minimalist,premium_tiles,1,0,1,4619000
3033,5,commercial,modern,standard,1,1,1,4273560
2587,4,hospitality,japandi,standard,0,0,1,3379620
1453,10,hospitality,royal,italian_marble,0,0,0,3530789
2389,4,hospitality,minimalist,italian_marble,0,0,0,4515210
2771,9,commercial,royal,custom_wood,1,0,0,5813680
2879,10,commercial,royal,italian_marble,1,1,0,6886860
2757,8,residential,royal,italian_marble,0,0,0,5955120
3238,10,commercial,japandi,standard,1,1,0,4035600
2228,8,commercial,modern,premium_tiles,0,1,0,3776200
3377,2,residential,traditional,custom_wood,1,1,0,6633840
3308,2,hospitality,minimalist,italian_marble,1,1,1,6522120
3017,3,hospitality,royal,premium_tiles,0,1,1,6329424
890,3,hospitality,contemporary,italian_marble,0,1,0,1942299
1548,4,hospitality,japandi,custom_wood,0,1,0,2700640
3009,5,hospitality,japandi,custom_wood,1,1,0,5205120
1021,10,hospitality,contemporary,italian_marble,0,1,0,2213470
1011,7,hospitality,japandi,custom_wood,1,0,1,1868480
2545,9,residential,contemporary,custom_wood,1,0,1,4242000
1051,6,residential,scandinavian,italian_marble,0,1,0,1991800
2256,4,hospitality,traditional,standard,1,0,0,3704719
721,6,commercial,contemporary,standard,0,0,0,951720
1467,8,commercial,modern,custom_wood,0,0,0,2581920
2149,10,residential,modern,standard,1,0,1,2748800
2394,8,residential,scandinavian,premium_tiles,0,1,0,3691000
1268,6,commercial,contemporary,custom_wood,0,0,0,2231680
2480,6,commercial,contemporary,custom_wood,0,1,1,4584800
1710,9,hospitality,modern,premium_tiles,1,0,0,2999750
1947,2,commercial,contemporary,custom_wood,1,1,1,3696720
2463,4,commercial,contemporary,premium_tiles,1,1,0,4213950
2331,7,commercial,scandinavian,custom_wood,0,1,1,4322560
1848,8,commercial,royal,premium_tiles,0,0,1,3723600
1558,9,commercial,japandi,italian_marble,1,1,0,2954400
3294,6,residential,contemporary,premium_tiles,1,1,0,5091000
2539,9,hospitality,traditional,custom_wood,0,1,0,5584239
1147,5,hospitality,scandinavian,standard,0,0,1,1702859
2058,8,residential,royal,italian_marble,1,0,0,4495280
2525,7,commercial,traditional,premium_tiles,1,0,1,5093750
1128,6,commercial,royal,italian_marble,0,1,1,2859520
2105,9,residential,modern,custom_wood,1,1,0,3518000
2494,9,commercial,royal,standard,0,0,0,3890640
2105,3,hospitality,japandi,premium_tiles,0,0,0,3315375
2055,10,commercial,traditional,premium_tiles,1,0,0,4057250
3323,8,commercial,royal,premium_tiles,1,1,1,6749850
718,5,residential,contemporary,italian_marble,0,0,1,1412400
2035,5,commercial,royal,standard,1,1,1,3444600
3203,8,hospitality,royal,standard,1,1,0,5338859
3459,6,hospitality,modern,italian_marble,0,1,0,7260129
1677,6,residential,minimalist,standard,0,1,1,2031160
3142,4,hospitality,traditional,custom_wood,0,1,0,6886719
2972,4,commercial,contemporary,premium_tiles,0,1,1,5123800
3237,2,commercial,royal,custom_wood,0,0,1,6852960
3000,10,hospitality,traditional,custom_wood,1,1,1,6749999
2701,4,residential,modern,italian_marble,0,1,0,4961800
1825,5,hospitality,contemporary,premium_tiles,1,1,0,3298124
3045,3,commercial,japandi,standard,0,1,0,3754000
2441,3,hospitality,japandi,premium_tiles,1,0,1,4014575
1776,7,residential,traditional,italian_marble,0,0,1,3956160
3199,8,residential,modern,premium_tiles,0,0,0,4798500
3035,7,hospitality,contemporary,premium_tiles,1,1,1,5505375
3045,6,hospitality,scandinavian,italian_marble,0,1,0,6403149
1835,4,hospitality,japandi,premium_tiles,0,0,1,3010125
1713,8,commercial,minimalist,standard,1,1,1,2325600
1009,3,commercial,modern,standard,1,1,1,1601880
2040,2,hospitality,royal,custom_wood,1,0,1,4576400
1592,8,residential,traditional,standard,1,1,1,2562480
2941,4,hospitality,japandi,custom_wood,1,0,0,4990880
1107,9,residential,royal,premium_tiles,1,1,0,2142600
2452,5,hospitality,minimalist,standard,0,1,0,3189520
3381,7,commercial,royal,standard,0,0,1,5394360
3262,6,hospitality,scandinavian,premium_tiles,1,0,0,5676950
704,5,commercial,royal,premium_tiles,0,1,0,1472800
733,7,residential,japandi,custom_wood,0,1,0,1155520
1637,8,residential,scandinavian,italian_marble,0,1,1,3166600
1925,4,commercial,japandi,premium_tiles,0,0,0,2887500
3199,4,commercial,contemporary,premium_tiles,0,1,1,5498350
1589,3,residential,minimalist,italian_marble,1,1,1,2844180
1988,4,residential,contemporary,italian_marble,0,1,0,3678400
3396,6,residential,modern,premium_tiles,1,1,0,5244000
1680,9,commercial,royal,premium_tiles,1,0,0,3326000
2179,7,residential,traditional,custom_wood,1,0,1,4353680
998,2,hospitality,royal,italian_marble,1,0,0,2475139
947,8,hospitality,contemporary,custom_wood,1,1,0,1892479
3323,10,hospitality,modern,premium_tiles,1,0,1,5902175
1023,10,residential,japandi,premium_tiles,1,1,0,1531050
1970,8,hospitality,japandi,premium_tiles,0,0,0,3102750
2479,3,commercial,modern,italian_marble,1,0,0,4958420
751,4,hospitality,royal,premium_tiles,1,1,1,1790774
1383,7,residential,scandinavian,standard,0,0,1,1779600
2458,6,hospitality,royal,standard,0,1,1,4201960
2792,7,residential,traditional,premium_tiles,1,0,1,5195600
1121,3,residential,scandinavian,italian_marble,0,0,0,2017800
888,9,commercial,traditional,premium_tiles,0,0,1,1851600
1619,7,residential,traditional,standard,1,0,1,2501360
1189,10,hospitality,royal,premium_tiles,0,0,1,2527724
982,9,commercial,japandi,standard,1,0,1,1348400
732,7,residential,contemporary,standard,0,1,1,1098400
3123,9,residential,scandinavian,premium_tiles,0,0,1,4804500
797,5,hospitality,contemporary,italian_marble,1,0,1,1819789
1959,3,residential,modern,premium_tiles,1,1,0,3088500
1283,6,residential,royal,premium_tiles,1,1,1,2579400
1047,3,hospitality,minimalist,custom_wood,0,0,1,1878960
3413,4,residential,contemporary,standard,1,1,1,4365600
2002,9,commercial,minimalist,italian_marble,0,0,0,3603600
1336,3,residential,traditional,custom_wood,1,1,0,2715120
2895,7,residential,traditional,standard,1,1,0,4318800
1070,4,hospitality,contemporary,italian_marble,0,1,0,2314900
1073,5,commercial,traditional,italian_marble,1,1,0,2660820
827,8,commercial,modern,premium_tiles,0,1,0,1464550
1272,3,residential,royal,premium_tiles,0,0,1,2409600
2224,3,hospitality,modern,standard,0,0,0,3069119
1509,9,residential,royal,standard,0,0,1,2292960
907,4,hospitality,traditional,custom_wood,1,0,1,2129120
3498,8,residential,contemporary,premium_tiles,0,1,1,5467000
2526,4,residential,modern,premium_tiles,1,1,1,4059000
2955,9,residential,royal,standard,1,0,1,4425200
1516,10,residential,scandinavian,italian_marble,1,1,1,2998800
2930,9,commercial,modern,standard,1,1,0,4017600
806,7,hospitality,minimalist,italian_marble,1,0,1,1693340
2868,7,hospitality,minimalist,premium_tiles,0,0,0,4517100
1791,10,hospitality,royal,premium_tiles,1,1,0,3776774
1421,5,hospitality,contemporary,standard,0,1,0,2060979
3006,5,commercial,modern,standard,0,1,0,4067920
1069,2,residential,modern,premium_tiles,0,1,0,1703500
2058,5,residential,contemporary,premium_tiles,1,0,0,3137000
1305,4,residential,japandi,standard,0,1,1,1629400
3100,3,commercial,contemporary,standard,0,0,1,4212000
3318,9,hospitality,contemporary,premium_tiles,1,0,0,5773550
2249,6,hospitality,scandinavian,standard,0,0,0,3103619
3046,8,hospitality,royal,premium_tiles,1,0,0,6218149
2732,4,commercial,scandinavian,italian_marble,0,1,1,5629360
1387,3,hospitality,scandinavian,standard,1,0,1,2084059
1558,5,hospitality,royal,standard,1,0,0,2573959
897,8,commercial,scandinavian,custom_wood,0,1,1,1798720
2251,7,hospitality,traditional,italian_marble,1,0,0,5519929
2548,3,residential,contemporary,italian_marble,1,1,0,4736400
1003,7,residential,traditional,premium_tiles,0,0,1,1925400
3133,9,hospitality,royal,custom_wood,0,1,0,6867279
919,3,commercial,minimalist,premium_tiles,1,1,1,1648500
1918,5,residential,royal,custom_wood,1,0,0,3732560
2177,2,commercial,royal,standard,1,0,0,3446120
805,5,residential,scandinavian,standard,0,1,0,1066000
1963,8,commercial,traditional,standard,0,1,0,3162280
2219,8,commercial,minimalist,custom_wood,0,1,1,3770400
2604,6,residential,japandi,standard,0,0,0,2812320
1051,7,hospitality,traditional,premium_tiles,0,1,1,2348275
2893,9,hospitality,minimalist,custom_wood,1,0,1,5030240
842,10,hospitality,modern,premium_tiles,0,1,0,1552450
1384,5,residential,minimalist,italian_marble,1,0,1,2412080
1527,4,hospitality,contemporary,standard,0,0,1,2227260
2978,8,hospitality,contemporary,standard,1,0,1,4279640
1160,8,residential,minimalist,italian_marble,0,0,1,1999200
2893,7,commercial,contemporary,custom_wood,1,1,0,5241680
1405,6,commercial,minimalist,custom_wood,0,1,1,2468000
1673,2,hospitality,traditional,standard,1,0,1,2880259
1941,6,commercial,japandi,custom_wood,0,0,0,3105600
1930,9,commercial,contemporary,custom_wood,0,0,1,3516800
1565,8,hospitality,traditional,standard,0,0,0,2535299
1974,10,commercial,minimalist,italian_marble,0,0,0,3553200
936,5,residential,traditional,italian_marble,1,0,1,2191760
2208,9,hospitality,traditional,italian_marble,0,0,1,5485439
2702,9,residential,japandi,custom_wood,1,1,0,4040880
1759,3,commercial,royal,custom_wood,0,0,0,3658720
1606,5,hospitality,minimalist,standard,1,0,0,2073560
2641,4,hospitality,minimalist,italian_marble,0,1,1,5211490
3332,6,commercial,traditional,standard,1,1,0,5347920
2611,6,hospitality,modern,custom_wood,0,0,1,4924240
2999,6,commercial,scandinavian,italian_marble,1,0,1,6108020
1832,7,commercial,contemporary,standard,0,0,0,2418240
932,8,hospitality,contemporary,premium_tiles,0,1,1,1827699
1762,8,commercial,traditional,italian_marble,0,1,0,4223080
2889,9,hospitality,contemporary,standard,0,0,1,4106819
1099,9,residential,scandinavian,standard,0,1,0,1418800
1610,7,residential,scandinavian,standard,1,1,1,2202000
1767,6,commercial,japandi,italian_marble,1,0,0,3230600
2634,5,hospitality,royal,custom_wood,1,1,0,5839439
1317,4,residential,contemporary,custom_wood,1,0,1,2277200
1438,3,commercial,contemporary,premium_tiles,1,0,0,2422700
2551,6,residential,japandi,premium_tiles,0,1,0,3543850
1230,8,hospitality,traditional,custom_wood,1,1,1,2926799
719,2,hospitality,minimalist,standard,0,1,0,1005940
773,2,hospitality,scandinavian,premium_tiles,0,1,1,1553425
1228,3,commercial,modern,standard,0,0,0,1620960
